Id,Story,Labels,Iteration,Iteration Start,Iteration End,Story Type,Estimate,Current State,Created at,Accepted at,Deadline,Requested By,Description,URL,Owned By,Task,Task Status,Task,Task Status,Task,Task Status
68382716,Setup Representative class,representative,,,,feature,2,unscheduled,27-Mar-14,,,Eric,Setup Representative class and associated files,http://www.pivotaltracker.com/story/show/68382716,,"Representatives have: id, name, party, year elected, contact info, social media links, gender, #terms",not completed,Representatives have many Users,not completed,Representatives belong to a State,not completed
68381462,Setup Senator class,senators,,,,feature,2,unscheduled,27-Mar-14,,,Eric,Setup Senator class and associated files,http://www.pivotaltracker.com/story/show/68381462,,"Senators have: id, name, party, year elected, contact info, social media links, gender, #terms",not completed,Senators have many Users,not completed,Senators belong to a State,not completed
68374518,Setup States ,states,,,,feature,2,unscheduled,27-Mar-14,,,Eric,Setup State class and associated files,http://www.pivotaltracker.com/story/show/68374518,,"State has: id, population, name",not completed,State has many: senators and congressmen,not completed,,
68364544,Create an account,users,,,,feature,1,unscheduled,27-Mar-14,,,Eric,"As a user, I want to create an account so that I can access all CongrS features.",http://www.pivotaltracker.com/story/show/68364544,,,,,,,
68365096,Delete an account,users,,,,feature,1,unscheduled,27-Mar-14,,,Eric,"As a user, I want to delete an account so that black SUVs will stop following me.",http://www.pivotaltracker.com/story/show/68365096,,,,,,,
68364818,Login,users,,,,feature,1,unscheduled,27-Mar-14,,,Eric,"As a user, I want to be able to login so that I can use CongrS features.",http://www.pivotaltracker.com/story/show/68364818,,,,,,,
68365706,Search for Senators and Congressmen,users,,,,feature,1,unscheduled,27-Mar-14,,,Eric,"As a user, I want to search for members of congress so that I can find out more about them.",http://www.pivotaltracker.com/story/show/68365706,,,,,,,
68365944,'punch' or 'highfive' members of Congress,users,,,,feature,1,unscheduled,27-Mar-14,,,Eric,"As a user, I want to be able to 'punch'(disapprove) or 'high-five'(approve) a member of congress so that I can share my love or hatred of that member and contribute to their approval rating.",http://www.pivotaltracker.com/story/show/68365944,,,,,,,
68366374,Newsfeed,users,,,,feature,2,unscheduled,27-Mar-14,,,Eric,"As a user, I want a NewsFeed so that when I login, I receive the most recent social media posts by members of Congress that I follow.",http://www.pivotaltracker.com/story/show/68366374,,,,,,,
68366868,Follow a Senator or Congressman,users,,,,feature,1,unscheduled,27-Mar-14,,,Eric,"As a user, I want to be able to follow members of Congress so that I can access their recent social media posts on my Newsfeed.",http://www.pivotaltracker.com/story/show/68366868,,,,,,,
